subject;chapter;subchapter;question;options;correct_answer
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is suitable for business applications?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for scientific calculations?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is more efficient in terms of execution speed?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is less error-prone?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for web development?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for system administration tasks?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is suitable for writing operating systems?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for database management?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is used for game development?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"c) High-level language"
"Programming in C";"Intro to Programming";"Introduction to programming languages.Types of programming languages: low-level, mid-level, high-level programming languages.";"Which type of language is closer to the machine architecture?";""a) Low-level language"; "b) Mid-level language"; "c) High-level language"; "d) None of the above"";"a) Low-level language"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is an algorithm?";""a) A programming language"; "b) A step-by-step set of instructions to solve a problem"; "c) A type of data structure"; "d) None of the above"";"b) A step-by-step set of instructions to solve a problem"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the purpose of using pseudo-code?";""a) To write code in a specific programming language"; "b) To outline the logic of a program in a language-independent manner"; "c) To make the code look fancy"; "d) None of the above"";"b) To outline the logic of a program in a language-independent manner"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is a pseudo-code convention?";""a) int main()"; "b) Start with 'Begin' and end with 'End'"; "c) for (i = 0; i < 10; i++)"; "d) if (condition) { /* code */ }"";"b) Start with 'Begin' and end with 'End'"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"In pseudo-code, how is assignment denoted?";""a) using '='"; "b) using '=='"; "c) using ':='"; "d) using ':'"";"c) using ':='"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which statement is used in pseudo-code to iterate over a loop?";""a) for"; "b) while"; "c) if"; "d) else"";"a) for"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the purpose of an algorithm?";""a) To find and fix errors in a program"; "b) To outline the logic for solving a problem"; "c) To choose the right programming language"; "d) None of the above"";"b) To outline the logic for solving a problem"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is a characteristic of a good algorithm?";""a) Efficient"; "b) Lengthy"; "c) Complicated"; "d) Hard to understand"";"a) Efficient"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is NOT a valid pseudo-code convention?";""a) Use indentation to indicate blocks of code"; "b) Use meaningful variable names"; "c) Write code in a specific programming language"; "d) Use comments to explain complex sections"";"c) Write code in a specific programming language"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is a flowchart?";""a) A type of algorithm"; "b) A graphical representation of a process"; "c) A programming language"; "d) None of the above"";"b) A graphical representation of a process"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What does a diamond-shaped symbol represent in a flowchart?";""a) Input/Output operation"; "b) Decision or branching point"; "c) Process or operation"; "d) Start or end of the program"";"b) Decision or branching point"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which symbol is used to represent a process or operation in a flowchart?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"b) Rectangle"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What does a parallelogram-shaped symbol represent in a flowchart?";""a) Input/Output operation"; "b) Decision or branching point"; "c) Process or operation"; "d) Start or end of the program"";"a) Input/Output operation"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which symbol is used to represent the start or end of a program in a flowchart?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"a) Oval"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What does an arrow indicate in a flowchart?";""a) Direction of data flow"; "b) Start of a loop"; "c) End of a loop"; "d) None of the above"";"a) Direction of data flow"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the purpose of using a flowchart?";""a) To write code in a specific programming language"; "b) To visualize the steps of a process"; "c) To create complex algorithms"; "d) None of the above"";"b) To visualize the steps of a process"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which symbol is used to represent a decision in a flowchart?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"c) Diamond"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which symbol is used to represent a loop in a flowchart?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"b) Rectangle"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is a valid flowchart symbol?";""a) Triangle"; "b) Hexagon"; "c) Oval"; "d) Square"";"c) Oval"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"In a flowchart, which symbol is used to indicate input and output operations?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"d) Parallelogram"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is NOT a purpose of using flowcharts?";""a) To represent a graphical user interface"; "b) To communicate complex processes"; "c) To analyze and improve processes"; "d) To document existing processes"";"a) To represent a graphical user interface"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the significance of arrows in a flowchart?";""a) Indicate the direction of data flow"; "b) Represent conditional statements"; "c) Denote the beginning of a loop"; "d) None of the above"";"a) Indicate the direction of data flow"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What does a rectangle symbolize in a flowchart?";""a) Input/Output operation"; "b) Decision or branching point"; "c) Process or operation"; "d) Start or end of the program"";"c) Process or operation"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is NOT a valid flowchart symbol?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Hexagon"";"d) Hexagon"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"In a flowchart, what does a circle represent?";""a) Decision or branching point"; "b) Process or operation"; "c) Start or end of the program"; "d) Input/Output operation"";"c) Start or end of the program"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the primary purpose of using flowcharts in programming?";""a) To execute code directly"; "b) To plan and visualize the logic of a program"; "c) To generate random numbers"; "d) None of the above"";"b) To plan and visualize the logic of a program"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which symbol is used to represent a decision in a flowchart?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"c) Diamond"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What does an oval symbolize in a flowchart?";""a) Decision or branching point"; "b) Process or operation"; "c) Start or end of the program"; "d) Input/Output operation"";"a) Decision or branching point"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"In a flowchart, what does a parallelogram represent?";""a) Decision or branching point"; "b) Process or operation"; "c) Start or end of the program"; "d) Input/Output operation"";"d) Input/Output operation"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"Which of the following is a valid flowchart symbol for process or operation?";""a) Oval"; "b) Rectangle"; "c) Diamond"; "d) Parallelogram"";"b) Rectangle"
"Programming in C";"Intro to Programming";"Algorithm � concept of algorithm, pseudo-code convention like � assignment statements develop algorithm to solve simple problems.Flowchart - concept of flowchart, symbols of flowchart";"What is the advantage of using flowcharts when designing a program?";""a) It allows for direct code execution"; "b) It provides a visual representation of the program's logic"; "c) It eliminates the need for debugging"; "d) None of the above"";"b) It provides a visual representation of the program's logic"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which of the following statements is true regarding the history of the C programming language?";""A) C was developed in the early 2000s."; "B) C was initially developed at Bell Labs by Dennis Ritchie in the early 1970s."; "C) C was primarily used for web development."; "D) C was first introduced as a high-level language."";"B) C was initially developed at Bell Labs by Dennis Ritchie in the early 1970s."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is a key feature of the C programming language?";""A) Object-Oriented Programming (OOP) support."; "B) Strongly-typed language."; "C) Automatic memory management."; "D) High-level abstraction."";"B) Strongly-typed language."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which of the following is not a feature of the C programming language?";""A) Portability."; "B) Low-level access to memory."; "C) Dynamic typing."; "D) Efficient execution."";"C) Dynamic typing."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What does the term 'procedural language' mean in the context of C?";""A) It emphasizes on objects and classes."; "B) It focuses on procedures or functions."; "C) It is exclusively used for web development."; "D) It is a type of markup language."";"B) It focuses on procedures or functions."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which programming paradigm does C primarily follow?";""A) Object-Oriented Programming (OOP)."; "B) Procedural Programming."; "C) Functional Programming."; "D) Declarative Programming."";"B) Procedural Programming."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the correct order of execution for statements in a C program?";""A) Preprocessor, Compiler, Assembler, Linker, Loader."; "B) Compiler, Preprocessor, Assembler, Linker, Loader."; "C) Preprocessor, Assembler, Compiler, Linker, Loader."; "D) Preprocessor, Compiler, Assembler, Loader, Linker."";"D) Preprocessor, Compiler, Assembler, Loader, Linker."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the purpose of the main() function in a C program?";""A) It is the first function to be executed in the program."; "B) It contains the most important code in the program."; "C) It serves as the entry point for program execution."; "D) It is used for mathematical calculations."";"C) It serves as the entry point for program execution."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which of the following statements is true regarding comments in a C program?";""A) Comments are executed at runtime."; "B) Comments are ignored by the compiler."; "C) Comments must be enclosed in double quotes."; "D) Comments can be used for declaring variables."";"B) Comments are ignored by the compiler."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the purpose of the 'return' statement in the main() function?";""A) It indicates the end of the program."; "B) It returns a value to the operating system."; "C) It terminates the execution of the program."; "D) It is used to exit a loop."";"B) It returns a value to the operating system."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which symbol is used to denote a single-line comment in a C program?";""A) //"; "B) /**/"; "C) #"; "D) '''"";"A) //"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which directive is used to include standard input/output functions in a C program?";""A) #import <stdio.h>"; "B) #include <stdio.h>"; "C) #include ""stdio.h"""; "D) #import ""stdio.h"""";"B) #include <stdio.h>"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What happens if you forget to include the 'stdio.h' header file in your C program?";""A) The program will not compile."; "B) The program will compile but not execute."; "C) The program will execute with warnings."; "D) The program will execute without any issues."";"A) The program will not compile."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the role of the <stdio.h> header file in a C program?";""A) It provides functions for mathematical operations."; "B) It contains functions for file input and output operations."; "C) It is used for defining data types."; "D) It is used for string manipulation."";"B) It contains functions for file input and output operations."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which function is called automatically when a C program is executed?";""A) main()"; "B) start()"; "C) execute()"; "D) initialize()"";"A) main()"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the return type of the main() function in C?";""A) int"; "B) void"; "C) float"; "D) char"";"A) int"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which of the following is not a valid data type in C?";""A) long double"; "B) double long"; "C) float"; "D) char"";"B) double long"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the size of the 'char' data type in C?";""A) 4 bytes"; "B) 2 bytes"; "C) 1 byte"; "D) 8 bytes"";"C) 1 byte"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which escape sequence is used for a newline character in C?";""A) \n"; "B) \t"; "C) \r"; "D) \a"";"A) \n"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the range of values for an 'int' data type in C?";""A) -32768 to 32767"; "B) -2147483648 to 2147483647"; "C) 0 to 65535"; "D) 0 to 4294967295"";"B) -2147483648 to 2147483647"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which data type is used to store decimal numbers with single precision in C?";""A) float"; "B) double"; "C) long double"; "D) int"";"A) float"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the maximum value that can be stored in an unsigned short int?";""A) 32767"; "B) 65535"; "C) 2147483647"; "D) 4294967295"";"B) 65535"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which data type is used to store true or false values in C?";""A) boolean"; "B) int"; "C) char"; "D) bool"";"B) int"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the size of a 'long long int' in C?";""A) 4 bytes"; "B) 8 bytes"; "C) 2 bytes"; "D) 16 bytes"";"B) 8 bytes"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which escape sequence is used for a tab character in C?";""A) \t"; "B) "; "C) \r"; "D) \b"";"A) \t"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which data type is used to store characters in C?";""A) char"; "B) character"; "C) string"; "D) chr"";"A) char"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which header file should be included to use the 'malloc()' function in C?";""A) #include <stdlib.h>"; "B) #include <memory.h>"; "C) #include <alloc.h>"; "D) #include <malloc.h>"";"A) #include <stdlib.h>"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the purpose of the 'return 0;' statement in the main() function?";""A) It indicates an error."; "B) It terminates the program."; "C) It signifies a successful execution."; "D) It is optional."";"C) It signifies a successful execution."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the role of the <math.h> header file in a C program?";""A) It provides functions for mathematical operations."; "B) It contains functions for file input and output operations."; "C) It is used for defining data types."; "D) It is used for string manipulation."";"A) It provides functions for mathematical operations."
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"Which function is used to dynamically allocate memory in C?";""A) malloc()"; "B) allocate()"; "C) memalloc()"; "D) new()"";"A) malloc()"
"Programming in C";"Fundamentals of C";"History of C, features of C.Structure of C program.Header files,Main function.Character set,Data types in C.";"What is the return type of the 'malloc()' function in C?";""A) int"; "B) void*"; "C) float"; "D) char*"";"B) void*"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid C identifier?";""3number"; "my_variable"; "float"; "main"";"my_variable"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is a token in C programming?";""A keyword in C."; "A basic unit of a program that the compiler recognizes."; "A named constant."; "A type of variable."";"A basic unit of a program that the compiler recognizes."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a valid constant in C?";""5myConst"; "MAX_VALUE"; "double"; "main()"";"MAX_VALUE"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is a keyword in C?";""int"; "value"; "calculate"; "string"";"int"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the maximum length of a variable name in C?";""31 characters"; "63 characters"; "79 characters"; "There is no specific limit."";"There is no specific limit."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is not a valid variable name in C?";""my_variable"; "totalValue"; "123var"; "_result"";"123var"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the value of a constant in C?";""It cannot be changed during program execution."; "It is determined by the user at runtime."; "It can be modified anytime in the program."; "It is always equal to 0."";"It cannot be changed during program execution."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is an example of a string constant in C?";""42"; "'A'"; """Hello, World!"""; "3.14"";"""Hello, World!"""
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What happens if you try to use a keyword as a variable name in C?";""It will result in a syntax error."; "The compiler will automatically rename the variable."; "It will not cause any issues."; "The program will crash."";"It will result in a syntax error."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is not a valid data type in C?";""short int"; "long long int"; "real"; "char"";"real"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the role of an identifier in C programming?";""It represents a specific memory location."; "It defines a constant value."; "It is a keyword used for loops."; "It specifies the data type of a variable."";"It represents a specific memory location."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the value of a variable in C?";""It is determined by the user at runtime."; "It can change during program execution."; "It cannot be modified."; "It is always equal to 0."";"It can change during program execution."
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"Which of the following is an example of a valid C identifier?";""1st_place"; "MAX-VALUE"; "_variable_name"; "break"";"_variable_name"
"Programming in C";"Fundamentals of C";"Token, constant, variable, keywords and identifiers in C.Rules for constructing variable names,declaration of variables";"What is the purpose of using constants in C?";""To store changing values."; "To make the code more readable."; "To avoid magic numbers."; "To declare variables."";"To avoid magic numbers."
